SHIP_ID,LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,WIDTH,L_FORE,W_LEFT,ROT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME
9126875,12.989516,68.069298,40,10,,1296,,LK,14,BROTHERS 03,2,5,11,3,,,,,,
10272023,15.663478,72.667915,1,339,339,5,CLASS B,IN,0,JERUSALEM NET 3 99,2,0,0,0,,,,,,
9560843,18.863787,72.824043,342,137,155,1176,CLASS B,IN,18,WESTAAR,3,7,8,4,,,,,,
10220999,15.865173,72.779266,91,147,173,779,CLASS B,IN,66,BAYWAY1,8,14,53,7,315,,,,,
TlRVME5EVTNOVFUwTkRVM05UVTBOQT09LXBWYi82ZFUrZWRpYXNRdi9jQkt4dVE9PQ==,18.113333,67.728333,0,101,,11,,,,[SAT-AIS],2,,,,,,,2,Fishing,Underway using Engine
3250592,14.47584,70.199944,3,326,316,119,CLASS B,IN,0,ATHIRA NET 1 65,2,0,0,0,,,,,,
4293466,18.027519,72.861206,0,0,21,153,PORTBLAIR,IN,34,BULAND,0,10,15,8,315,,,,,
27234,20.195976,72.747627,,,,14,,--,0,VTS 4192224,0,0,,,,,,,,
9936022,19.360449,70.075249,27,161,,1330,CLASS B,IN,26,MATHA,2,6,16,4,,,,,,
9275371,12.232173,71.513374,6,4,,603,CLASS B,IN,10,EXODUS NET4 100,0,6,6,3,,,,,,
5891171,12.869628,70.744446,59,126,,256,CLASS B,IN,0,SHANUMOL,2,0,0,0,,,,,,
10234731,18.733061,69.594345,1,328,,206,CLASS B,IN,0,BIHA MOL 591,2,0,0,0,,,,,,
8444818,19.662848,70.611397,10,130,,1261,CLASS B,IN,26,DAIVADHANAM,2,6,16,4,,,,,,
TXpJeE16TTJNekl4TXpNMk16SXhNdz09LUtsRnlZc2JqdWs5VjRtWE5uelFRMGc9PQ==,16.651667,68.346664,0,,,41,,,,[SAT-AIS],2,,,,,,,2,Fishing,Unknown
8697495,17.969494,72.861137,0,0,357,266,JNPT,IN,32,U US STAR,3,12,16,6,315,,,,,
10036708,16.487068,68.347923,78,103,,617,CLASS B,CN,72,FU YUAN YU8591,2,12,50,6,,,,,,
TWpBd01qSTNNakF3TWpJM01qQXdNZz09LXQwM3pPR0lrV01kcHY1MjBLTVVvU3c9PQ==,16.381666,68.991669,0,,,84,,,,[SAT-AIS],2,,,,,,,2,Fishing,Underway using Engine
27238,18.280512,72.936142,,,,1381,,IN,6,VTS 4192228,1,6,3,3,,,,,,
654569,17.694719,72.842705,0,0,350,181,CLASS B,IN,26,1A,2,6,13,3,315,,,,,
6069219,18.002748,66.932083,83,353,0,232,CLASS B,CN,70,XINGBANG901,2,10,45,5,0,,,,,
TmpVMk16RXpOalUyTXpFek5qVTJNdz09LVJOb25qc0c2Q2tkcHh3ckVENW10aWc9PQ==,18.173334,66.928337,0,78,,7,,,,[SAT-AIS],2,,,,,,,2,Fishing,Moored
9039748,16.157957,73.328056,40,326,,1,SIKKA,IN,20,K B 1,3,6,6,3,,,,,,
27160,21.040327,71.804588,,,,16,CLASS B,IN,0,00419 09 97,1,0,0,0,,,,,,
10225053,13.843337,73.28595,1,284,,49,CLASS B,IN,0,SNEHAMARIYAL 5 69,2,0,0,0,,,,,,
8407686,13.744997,71.262497,8,306,,1426,CLASS B,IN,26,ALLELUYA N BOAT,2,6,16,4,,,,,,
9373364,18.539801,69.249184,0,69,,226,CLASS B,IN,0,MANJUMATHA NET282,2,0,0,0,,,,,,
7982882,11.68659,74.641792,4,250,,574,CLASS B,IN,26,MADARASI MATHA FISH,2,6,16,4,,,,,,
7447270,18.295467,72.838165,0,0,337,139,MUMAI,IN,27,WJRANJOG,4,5,9,2,315,,,,,
7295264,19.767075,70.598038,3,70,,1250,CLASS B,IN,19,ANNAI I MAX,2,6,9,4,,,,,,
7027748,12.67852,74.720871,60,208,,329,CLASS B,IN,44,MSV.AL BADRIYA,7,6,34,4,,,,,,
10057125,16.613787,68.035065,3,234,274,545,INDIAN OCEAN,PA,113,GOLDEN WEAL,8,17,89,7,0,,14,,,
TXpVeE5qQTNNelV4TmpBM016VXhOZz09LXJOVUNiSDA5TStZSW1iOENnMTNQS1E9PQ==,16.941668,68.196663,90,139,,6,,,,[SAT-AIS],8,,,,,,,8,Tanker,Not Under Command
9092004,13.319431,70.102493,8,0,,140,CLASS B,IN,10,AJAY 2 NET 5 91,2,5,5,3,,,,,,
5813783,18.134192,72.97403,,,,397,MUMBAI,IN,56,1XY CONQUEST,3,13,10,10,-346,,,,,
3084886,13.004777,74.789665,,,,7,,--,0,VTS 4192239,0,0,,,,,,,,
6977880,12.826562,67.997482,44,349,,1340,CLASS B,LK,14,IMULA 2006 MTR,2,5,11,3,,,,,,
10226417,12.05169,74.26342,44,291,,417,CLASS B,IN,10,RAYAN MON 1 59,0,6,6,3,,,,,,
29300,18.81938,72.298561,163,268,268,466,BAR=INDIGIRKI,SR,0,TEST31188,3,0,0,0,,,,,,
9618788,17.563478,72.216187,88,15,,532,CLASS B,IN,26,SHESHA NANDAN,2,6,16,4,,,,,,
